strain	gene	Orthogroup	class
NIC1792	g4773	OG0003229	core
NIC1792	g4774	OG0003653	core
NIC1792	g4775	OG0024167	accessory
NIC1792	g4776	OG0023173	accessory
NIC1792	g4777	OG0003652	core
NIC1792	g4778	OG0005387	core
NIC1792	g4779	OG0005388	core
NIC1792	g4780	OG0005389	core
NIC1792	g4781	OG0005390	core
NIC1792	g4782	OG0005391	core
NIC1792	g4783	OG0005392	core
NIC1792	g4784	OG0016040	accessory
NIC1792	g4785	OG0000838	core
NIC1792	g4786	OG0005393	core
NIC1792	g7951	OG0018364	accessory
NIC1792	g7952	OG0025241	accessory
NIC1792	g7953	OG0017337	accessory
NIC1792	g7954	OG0024619	accessory
NIC1792	g7955	OG0017259	accessory
NIC1792	g7962	OG0003273	accessory
NIC1792	g7963	OG0001560	accessory
NIC1792	g7964	OG0022102	accessory
NIC1792	g7965	OG0028914	accessory
NIC1792	g7966	OG0022102	accessory
NIC1792	g7967	OG0023479	accessory
NIC1792	g7968	OG0018457	accessory
NIC1792	g7969	OG0018487	accessory
NIC1792	g7970	OG0022269	accessory
NIC1792	g7971	OG0016686	accessory
NIC1792	g7972	OG0000846	core
NIC1792	g7979	OG0007126	core
NIC1792	g7980	OG0021437	accessory
NIC1792	g7981	OG0015870	accessory
NIC1792	g7982	OG0029155	accessory
NIC1792	g7983	OG0000744	core
NIC1792	g7984	OG0004102	accessory
NIC1792	g7985	OG0001949	core
NIC1792	g7986	OG0001192	core
NIC1792	g7987	OG0001420	core
NIC1792	g7988	OG0020447	accessory
NIC1792	g7989	OG0020447	accessory
NIC1792	g7990	OG0023512	accessory
NIC1792	g7991	OG0022883	accessory
NIC1792	g7992	OG0023893	accessory
NIC1792	g7993	OG0022708	accessory
NIC1792	g7994	OG0023451	accessory
NIC1792	g7995	OG0017599	accessory
NIC1792	g7996	OG0020472	accessory
NIC1792	g7997	OG0016998	accessory
NIC1792	g7998	OG0003412	core
NIC1792	g7999	OG0007127	core
NIC1792	g8032	OG0001712	accessory
NIC1792	g8033	OG0016687	accessory
NIC1792	g8034	OG0000318	accessory
NIC1792	g8035	OG0000318	accessory
NIC1792	g8036	OG0000241	accessory
NIC1792	g8037	OG0017150	accessory
NIC1792	g8063	OG0018861	accessory
NIC1792	g8064	OG0022864	accessory
NIC1792	g8065	OG0022864	accessory
NIC1792	g8066	OG0019262	accessory
NIC1792	g8067	OG0000217	accessory
NIC1792	g8068	OG0007134	core
NIC1792	g8069	OG0007135	core
NIC1792	g8070	OG0007136	core
NIC1792	g8071	OG0003144	core
NIC1792	g8072	OG0022893	accessory
NIC1792	g8073	OG0001951	core
NIC1792	g8074	OG0001952	core
NIC1792	g8075	OG0020845	accessory
NIC1792	g8076	OG0001953	core
NIC1792	g8077	OG0017810	accessory
NIC1792	g8078	OG0020173	accessory
NIC1792	g8079	OG0020231	accessory
NIC1792	g8080	OG0019953	accessory
NIC1792	g8081	OG0022525	accessory
NIC1792	g8082	OG0022525	accessory
NIC1792	g8083	OG0020713	accessory
NIC1792	g8084	OG0020713	accessory
NIC1792	g8085	OG0021038	accessory
NIC1792	g8086	OG0023698	accessory
NIC1792	g8087	OG0021167	accessory
NIC1792	g8088	OG0019214	accessory
NIC1792	g8089	OG0003260	accessory
NIC1792	g8090	OG0001954	core
NIC1792	g8091	OG0021270	accessory
NIC1792	g8092	OG0021270	accessory
NIC1792	g8093	OG0022144	accessory
NIC1792	g8094	OG0000356	accessory
NIC1792	g8095	OG0000356	accessory
NIC1792	g8096	OG0017892	accessory
NIC1792	g8097	OG0020963	accessory
NIC1792	g8098	OG0003130	accessory
NIC1792	g8099	OG0018452	accessory
NIC1792	g8100	OG0022233	accessory
NIC1792	g8101	OG0022233	accessory
NIC1792	g8102	OG0007137	core
NIC1792	g8103	OG0003971	core
NIC1792	g8104	OG0016707	accessory
NIC1792	g8105	OG0018157	accessory
NIC1792	g8106	OG0001043	core
NIC1792	g8107	OG0020164	accessory
NIC1792	g8108	OG0001044	core
NIC1792	g8109	OG0017179	accessory
NIC1792	g8110	OG0019382	accessory
NIC1792	g8111	OG0019382	accessory
NIC1792	g8112	OG0003432	core
NIC1792	g8113	OG0007138	core
NIC1792	g8174	OG0020266	accessory
NIC1792	g8175	OG0024567	accessory
NIC1792	g8176	OG0023830	accessory
NIC1792	g8177	OG0024875	accessory
NIC1792	g8178	OG0029174	accessory
NIC1792	g8179	OG0023001	accessory
NIC1792	g8180	OG0022570	accessory
NIC1792	g8181	OG0018260	accessory
NIC1792	g8197	OG0004022	core
NIC1792	g8198	OG0024257	accessory
NIC1792	g8199	OG0024257	accessory
NIC1792	g8200	OG0022040	accessory
NIC1792	g8201	OG0022040	accessory
NIC1792	g8202	OG0016660	accessory
NIC1792	g8203	OG0017016	accessory
NIC1792	g8204	OG0003436	accessory
NIC1792	g8205	OG0001608	core
NIC1792	g8206	OG0017007	accessory
NIC1792	g8207	OG0001713	core
NIC1792	g8208	OG0007148	core
NIC1792	g8209	OG0007149	core
NIC1792	g8210	OG0007150	core
NIC1792	g8211	OG0003710	core
NIC1792	g8212	OG0018004	accessory
NIC1792	g8213	OG0007151	core
NIC1792	g8214	OG0017746	accessory
NIC1792	g8215	OG0027147	accessory
NIC1792	g8216	OG0017417	accessory
NIC1792	g8217	OG0017417	accessory
NIC1792	g8218	OG0019521	accessory
NIC1792	g8219	OG0003194	core
NIC1792	g8220	OG0022717	accessory
NIC1792	g8221	OG0019703	accessory
NIC1792	g8226	OG0019289	accessory
NIC1792	g8227	OG0025504	accessory
NIC1792	g8228	OG0020479	accessory
NIC1792	g8229	OG0000370	core
NIC1792	g8230	OG0007153	core
NIC1792	g8231	OG0000729	core
NIC1792	g8232	OG0021659	accessory
NIC1792	g8245	OG0019224	accessory
NIC1792	g8246	OG0016139	accessory
NIC1792	g8247	OG0017260	accessory
NIC1792	g8260	OG0021529	accessory
NIC1792	g8261	OG0001623	accessory
NIC1792	g8262	OG0025986	accessory
NIC1792	g8263	OG0001315	core
NIC1792	g8264	OG0021088	accessory
NIC1792	g8265	OG0001316	core
NIC1792	g8266	OG0004103	core
NIC1792	g8267	OG0007160	core
NIC1792	g8278	OG0018035	accessory
NIC1792	g8279	OG0019159	accessory
NIC1792	g8280	OG0019466	accessory
NIC1792	g8281	OG0001960	accessory
NIC1792	g8282	OG0018783	accessory
NIC1792	g8283	OG0015618	accessory
NIC1792	g8284	OG0031133	accessory
NIC1792	g8285	OG0017176	accessory
NIC1792	g8286	OG0015871	accessory
NIC1792	g8287	OG0024834	accessory
NIC1792	g8288	OG0021440	accessory
NIC1792	g8289	OG0018238	accessory
NIC1792	g8290	OG0021433	accessory
NIC1792	g8291	OG0021433	accessory
NIC1792	g8292	OG0021919	accessory
NIC1792	g8293	OG0021647	accessory
NIC1792	g8294	OG0024012	accessory
NIC1792	g8295	OG0030452	accessory
NIC1792	g8296	OG0021072	accessory
NIC1792	g8297	OG0000875	core
NIC1792	g8298	OG0029852	accessory
NIC1792	g8299	OG0031820	accessory
NIC1792	g8300	OG0022180	accessory
NIC1792	g8301	OG0000730	accessory
NIC1792	g8302	OG0020323	accessory
NIC1792	g8303	OG0020449	accessory
NIC1792	g8304	OG0020481	accessory
NIC1792	g8305	OG0021988	accessory
NIC1792	g8306	OG0021776	accessory
NIC1792	g8307	OG0019990	accessory
NIC1792	g8308	OG0007163	core
NIC1792	g8309	OG0018003	accessory
NIC1792	g8310	OG0021523	accessory
NIC1792	g8311	OG0021523	accessory
NIC1792	g8312	OG0025029	accessory
NIC1792	g8313	OG0003217	core
NIC1792	g8314	OG0019777	accessory
NIC1792	g8315	OG0017484	accessory
NIC1792	g8316	OG0002551	core
NIC1792	g8317	OG0017081	accessory
NIC1792	g8318	OG0003732	core
NIC1792	g8319	OG0007164	core
NIC1792	g8320	OG0003177	core
NIC1792	g8321	OG0003195	core
NIC1792	g8336	OG0029343	accessory
NIC1792	g8337	OG0000213	accessory
NIC1792	g8338	OG0017659	accessory
NIC1792	g8342	OG0007171	core
NIC1792	g8343	OG0001961	core
NIC1792	g8344	OG0028345	accessory
NIC1792	g8345	OG0017275	accessory
NIC1792	g8346	OG0019485	accessory
NIC1792	g8347	OG0024005	accessory
NIC1792	g8348	OG0026637	accessory
NIC1792	g8349	OG0038310	accessory
NIC1792	g8350	OG0023756	accessory
NIC1792	g8351	OG0025571	accessory
NIC1792	g8352	OG0023904	accessory
NIC1792	g8353	OG0001047	accessory
NIC1792	g8354	OG0022065	accessory
NIC1792	g8355	OG0021022	accessory
NIC1792	g8356	OG0023946	accessory
NIC1792	g8357	OG0026478	accessory
NIC1792	g8358	OG0019438	accessory
NIC1792	g8359	OG0019438	accessory
NIC1792	g8360	OG0024673	accessory
NIC1792	g8361	OG0016764	accessory
NIC1792	g8362	OG0007172	core
NIC1792	g8363	OG0007173	core
NIC1792	g8364	OG0028383	accessory
NIC1792	g8365	OG0017118	accessory
NIC1792	g8366	OG0000683	accessory
NIC1792	g8367	OG0022548	accessory
NIC1792	g8368	OG0016897	accessory
NIC1792	g8369	OG0017907	accessory
NIC1792	g8370	OG0001317	core
NIC1792	g8371	OG0016669	accessory
NIC1792	g8372	OG0017050	accessory
NIC1792	g8444	OG0024313	accessory
NIC1792	g8445	OG0017325	accessory
NIC1792	g8446	OG0014524	core
NIC1792	g8447	OG0016538	accessory
NIC1792	g8448	OG0015771	accessory
NIC1792	g8449	OG0016539	accessory
NIC1792	g8450	OG0016540	accessory
NIC1792	g8460	OG0001656	core
NIC1792	g8461	OG0017944	accessory
NIC1792	g8462	OG0025371	accessory
NIC1792	g8463	OG0027041	accessory
NIC1792	g8464	OG0026044	accessory
NIC1792	g8465	OG0021130	accessory
NIC1792	g8466	OG0020183	accessory
NIC1792	g8467	OG0020093	accessory
NIC1792	g8468	OG0021862	accessory
NIC1792	g8469	OG0001564	core
NIC1792	g8470	OG0003907	core
NIC1792	g8471	OG0000274	accessory
NIC1792	g8472	OG0014526	core
NIC1792	g8556	OG0031719	accessory
NIC1792	g8557	OG0018522	accessory
NIC1792	g8558	OG0020712	accessory
NIC1792	g8559	OG0023990	accessory
NIC1792	g8560	OG0026045	accessory
NIC1792	g8561	OG0020770	accessory
NIC1792	g8562	OG0025280	accessory
NIC1792	g8563	OG0024627	accessory
NIC1792	g8564	OG0018954	accessory
NIC1792	g8565	OG0020898	accessory
NIC1792	g8566	OG0018705	accessory
NIC1792	g8567	OG0022063	accessory
NIC1792	g8568	OG0018729	accessory
NIC1792	g8569	OG0026457	accessory
NIC1792	g8570	OG0025650	accessory
NIC1792	g8571	OG0019323	accessory
NIC1792	g8572	OG0021253	accessory
NIC1792	g8573	OG0018420	accessory
NIC1792	g8574	OG0025778	accessory
NIC1792	g8575	OG0018420	accessory
NIC1792	g8576	OG0021253	accessory
NIC1792	g8577	OG0026713	accessory
NIC1792	g8578	OG0018511	accessory
NIC1792	g8579	OG0000118	accessory
NIC1792	g8580	OG0018591	accessory
NIC1792	g8581	OG0019005	accessory
NIC1792	g8582	OG0018910	accessory
NIC1792	g8583	OG0018237	accessory
NIC1792	g8584	OG0018152	accessory
NIC1792	g8585	OG0023560	accessory
NIC1792	g8586	OG0020071	accessory
NIC1792	g8587	OG0028061	accessory
NIC1792	g8588	OG0028061	accessory
NIC1792	g8589	OG0020071	accessory
NIC1792	g8590	OG0023560	accessory
NIC1792	g8591	OG0018152	accessory
NIC1792	g8592	OG0018237	accessory
NIC1792	g8593	OG0025879	accessory
NIC1792	g8594	OG0023554	accessory
NIC1792	g8595	OG0025061	accessory
NIC1792	g8596	OG0019377	accessory
NIC1792	g8597	OG0025637	accessory
NIC1792	g8598	OG0026037	accessory
NIC1792	g8599	OG0024676	accessory
NIC1792	g8600	OG0024250	accessory
NIC1792	g8601	OG0024941	accessory
NIC1792	g8602	OG0024650	accessory
NIC1792	g8603	OG0024787	accessory
NIC1792	g8604	OG0022658	accessory
NIC1792	g8605	OG0024269	accessory
NIC1792	g8606	OG0024221	accessory
NIC1792	g8607	OG0028167	accessory
NIC1792	g8608	OG0025412	accessory
NIC1792	g8609	OG0022482	accessory
NIC1792	g8610	OG0024076	accessory
NIC1792	g8611	OG0023339	accessory
NIC1792	g8612	OG0022093	accessory
NIC1792	g8613	OG0022237	accessory
NIC1792	g8614	OG0022237	accessory
NIC1792	g8615	OG0022664	accessory
NIC1792	g8616	OG0020213	accessory
NIC1792	g8617	OG0022526	accessory
NIC1792	g8618	OG0022526	accessory
NIC1792	g8619	OG0020213	accessory
NIC1792	g8620	OG0021547	accessory
NIC1792	g8621	OG0000802	accessory
NIC1792	g8622	OG0000802	accessory
NIC1792	g8623	OG0021017	accessory
NIC1792	g8624	OG0022714	accessory
NIC1792	g8625	OG0023811	accessory
NIC1792	g8626	OG0023550	accessory
NIC1792	g8627	OG0024003	accessory
NIC1792	g8628	OG0029661	accessory
NIC1792	g8629	OG0022479	accessory
NIC1792	g8630	OG0031625	accessory
NIC1792	g8631	OG0020652	accessory
NIC1792	g8632	OG0022558	accessory
NIC1792	g8633	OG0021281	accessory
NIC1792	g8634	OG0022952	accessory
NIC1792	g8635	OG0020831	accessory
NIC1792	g8636	OG0022184	accessory
NIC1792	g8637	OG0022256	accessory
NIC1792	g8638	OG0022253	accessory
NIC1792	g8639	OG0021512	accessory
NIC1792	g8640	OG0021566	accessory
NIC1792	g8641	OG0000266	accessory
NIC1792	g8642	OG0000266	accessory
NIC1792	g8643	OG0021723	accessory
NIC1792	g8644	OG0025034	accessory
NIC1792	g8645	OG0021027	accessory
NIC1792	g8646	OG0020924	accessory
NIC1792	g8647	OG0040808	private
NIC1792	g8648	OG0028558	accessory
NIC1792	g8649	OG0025008	accessory
NIC1792	g8650	OG0020901	accessory
NIC1792	g8651	OG0023062	accessory
NIC1792	g8652	OG0019234	accessory
NIC1792	g8653	OG0024965	accessory
NIC1792	g8654	OG0025426	accessory
NIC1792	g8655	OG0020170	accessory
NIC1792	g8656	OG0024139	accessory
NIC1792	g8657	OG0024140	accessory
NIC1792	g8658	OG0027517	accessory
NIC1792	g8659	OG0019866	accessory
NIC1792	g8660	OG0019229	accessory
NIC1792	g8661	OG0027481	accessory
NIC1792	g8662	OG0020771	accessory
NIC1792	g8663	OG0026473	accessory
NIC1792	g8664	OG0025829	accessory
NIC1792	g8665	OG0019954	accessory
NIC1792	g8666	OG0019314	accessory
NIC1792	g8667	OG0019693	accessory
NIC1792	g8668	OG0026454	accessory
NIC1792	g8669	OG0022197	accessory
NIC1792	g8670	OG0019118	accessory
NIC1792	g8671	OG0019070	accessory
NIC1792	g8671	OG0019070	accessory
NIC1792	g8672	OG0018719	accessory
NIC1792	g8673	OG0018823	accessory
NIC1792	g8674	OG0031843	accessory
NIC1792	g8675	OG0019502	accessory
NIC1792	g8676	OG0025247	accessory
NIC1792	g8677	OG0019681	accessory
NIC1792	g8678	OG0019133	accessory
NIC1792	g8679	OG0019501	accessory
NIC1792	g8680	OG0019810	accessory
NIC1792	g8681	OG0020369	accessory
NIC1792	g8682	OG0000347	accessory
NIC1792	g8683	OG0019813	accessory
NIC1792	g8684	OG0017569	accessory
NIC1792	g8685	OG0023275	accessory
NIC1792	g8686	OG0023704	accessory
NIC1792	g8687	OG0020162	accessory
NIC1792	g8688	OG0021225	accessory
NIC1792	g8689	OG0003280	accessory
NIC1792	g8738	OG0020494	accessory
NIC1792	g8739	OG0022804	accessory
NIC1792	g8740	OG0018055	accessory
NIC1792	g8741	OG0007335	core
NIC1792	g8758	OG0001515	accessory
NIC1792	g8766	OG0000558	core
NIC1792	g8767	OG0018718	accessory
NIC1792	g8768	OG0022325	accessory
NIC1792	g8769	OG0001059	accessory
NIC1792	g8770	OG0025996	accessory
NIC1792	g8771	OG0023617	accessory
NIC1792	g8772	OG0001521	accessory
NIC1792	g8773	OG0000694	accessory
NIC1792	g8941	OG0000554	accessory
NIC1792	g8942	OG0019245	accessory
NIC1792	g8959	OG0017172	accessory
NIC1792	g8960	OG0017820	accessory
NIC1792	g8961	OG0001976	accessory
NIC1792	g8962	OG0020972	accessory
NIC1792	g8963	OG0021439	accessory
NIC1792	g8964	OG0018649	accessory
NIC1792	g8965	OG0000806	accessory
NIC1792	g8966	OG0018059	accessory
NIC1792	g8967	OG0018255	accessory
NIC1792	g8968	OG0030202	accessory
NIC1792	g8969	OG0023931	accessory
NIC1792	g8970	OG0018691	accessory
NIC1792	g8971	OG0021040	accessory
NIC1792	g8985	OG0007297	core
NIC1792	g8986	OG0022006	accessory
NIC1792	g8987	OG0007296	core
NIC1792	g9099	OG0021934	accessory
NIC1792	g9100	OG0022084	accessory
NIC1792	g9101	OG0023318	accessory
NIC1792	g9102	OG0021359	accessory
NIC1792	g9103	OG0022059	accessory
NIC1792	g9104	OG0022877	accessory
NIC1792	g9105	OG0021866	accessory
NIC1792	g9106	OG0001195	core
NIC1792	g9107	OG0018410	accessory
NIC1792	g9108	OG0020190	accessory
NIC1792	g9109	OG0020280	accessory
NIC1792	g9110	OG0027007	accessory
NIC1792	g9111	OG0017960	accessory
NIC1792	g9112	OG0022291	accessory
NIC1792	g9113	OG0017960	accessory
NIC1792	g9114	OG0021501	accessory
NIC1792	g9115	OG0022160	accessory
NIC1792	g9116	OG0022524	accessory
NIC1792	g9117	OG0020400	accessory
NIC1792	g9118	OG0020423	accessory
NIC1792	g9119	OG0038682	private
NIC1792	g9120	OG0050727	private
NIC1792	g9121	OG0021991	accessory
NIC1792	g9122	OG0000715	accessory
NIC1792	g9123	OG0020201	accessory
NIC1792	g9124	OG0022045	accessory
NIC1792	g9125	OG0019802	accessory
NIC1792	g9126	OG0019802	accessory
NIC1792	g9127	OG0025798	accessory
NIC1792	g9128	OG0021980	accessory
NIC1792	g9129	OG0021407	accessory
NIC1792	g9130	OG0022771	accessory
NIC1792	g9131	OG0000121	accessory
NIC1792	g9132	OG0020720	accessory
NIC1792	g9133	OG0023670	accessory
NIC1792	g9165	OG0019713	accessory
NIC1792	g9166	OG0019033	accessory
NIC1792	g9167	OG0007259	core
NIC1792	g9177	OG0018653	accessory
NIC1792	g9178	OG0020023	accessory
NIC1792	g9179	OG0018921	accessory
NIC1792	g9239	OG0001974	core
NIC1792	g9249	OG0020117	accessory
NIC1792	g9250	OG0021007	accessory
NIC1792	g9251	OG0025639	accessory
NIC1792	g9252	OG0027010	accessory
NIC1792	g9253	OG0018294	accessory
NIC1792	g9254	OG0017556	accessory
NIC1792	g9255	OG0017556	accessory
NIC1792	g9268	OG0022836	accessory
NIC1792	g9269	OG0001425	core
NIC1792	g9270	OG0007239	core
NIC1792	g9335	OG0003735	core
NIC1792	g9336	OG0007224	core
NIC1792	g9337	OG0007223	core
NIC1792	g9338	OG0007222	core
NIC1792	g9339	OG0017356	accessory
NIC1792	g9340	OG0007221	core
NIC1792	g9341	OG0007220	core
NIC1792	g9342	OG0007219	core
NIC1792	g9343	OG0021856	accessory
NIC1792	g9344	OG0015873	accessory
NIC1792	g9345	OG0007218	core
NIC1792	g9346	OG0007217	core
NIC1792	g9347	OG0023120	accessory
NIC1792	g9348	OG0017936	accessory
NIC1792	g9349	OG0003935	core
NIC1792	g9350	OG0016695	accessory
NIC1792	g9351	OG0007216	core
NIC1792	g9352	OG0017994	accessory
NIC1792	g9353	OG0022123	accessory
NIC1792	g9354	OG0021305	accessory
NIC1792	g9355	OG0007215	core
NIC1792	g9356	OG0007214	core
NIC1792	g9357	OG0022750	accessory
NIC1792	g9358	OG0022201	accessory
NIC1792	g9359	OG0007213	core
NIC1792	g9360	OG0018432	accessory
NIC1792	g9361	OG0002554	core
NIC1792	g9362	OG0001968	core
NIC1792	g9363	OG0001967	core
NIC1792	g11962	OG0017859	accessory
NIC1792	g11963	OG0017858	accessory
NIC1792	g11964	OG0018976	accessory
NIC1792	g11965	OG0015689	accessory
NIC1792	g11990	OG0003178	core
NIC1792	g11991	OG0015832	accessory
NIC1792	g11992	OG0016665	accessory
NIC1792	g12035	OG0017389	accessory
NIC1792	g12036	OG0023207	accessory
NIC1792	g12037	OG0022422	accessory
NIC1792	g12038	OG0021412	accessory
NIC1792	g12039	OG0021370	accessory
NIC1792	g12040	OG0021431	accessory
NIC1792	g12041	OG0021466	accessory
NIC1792	g12118	OG0004388	core
NIC1792	g12119	OG0004387	core
NIC1792	g12120	OG0022147	accessory
NIC1792	g12121	OG0017462	accessory
NIC1792	g12122	OG0022235	accessory
NIC1792	g12123	OG0021986	accessory
NIC1792	g12163	OG0018167	accessory
NIC1792	g12164	OG0022360	accessory
NIC1792	g12165	OG0018117	accessory
NIC1792	g12166	OG0004378	core
NIC1792	g13162	OG0003616	core
NIC1792	g13163	OG0021520	accessory
NIC1792	g13164	OG0020238	accessory
NIC1792	g13165	OG0004949	core
NIC1792	g13696	OG0015532	core
NIC1792	g13697	OG0045133	private
NIC1792	g13698	OG0029548	accessory
NIC1792	g13699	OG0017632	accessory
NIC1792	g13703	OG0018664	accessory
NIC1792	g13704	OG0000492	accessory
NIC1792	g13705	OG0002366	core
NIC1792	g14341	OG0014701	core
NIC1792	g14418	OG0014665	core
NIC1792	g14419	OG0014664	core
NIC1792	g14420	OG0014663	core
NIC1792	g14421	OG0014662	core
NIC1792	g14422	OG0014661	core
NIC1792	g14423	OG0014660	core
NIC1792	g15352	OG0005180	core
NIC1792	g15353	OG0005181	core
NIC1792	g15490	OG0011030	core
NIC1792	g15491	OG0011029	core
NIC1792	g16049	OG0012346	core
NIC1792	g16050	OG0012347	core
NIC1792	g16079	OG0012367	core
NIC1792	g16080	OG0012368	core
NIC1792	g16081	OG0012369	core
NIC1792	g16082	OG0012370	core
NIC1792	g17157	OG0021316	accessory
NIC1792	g17158	OG0022730	accessory
NIC1792	g17159	OG0016950	accessory
NIC1792	g17160	OG0017872	accessory
NIC1792	g17161	OG0003892	core
NIC1792	g17165	OG0000664	core
NIC1792	g17530	OG0023312	accessory
NIC1792	g17531	OG0003295	accessory
NIC1792	g17532	OG0019209	accessory
NIC1792	g17533	OG0020860	accessory
NIC1792	g17542	OG0017657	accessory
NIC1792	g17543	OG0000563	core
NIC1792	g17544	OG0001391	core
NIC1792	g17545	OG0020897	accessory
NIC1792	g17546	OG0019429	accessory
NIC1792	g17547	OG0020897	accessory
NIC1792	g17548	OG0022413	accessory
NIC1792	g17549	OG0024575	accessory
NIC1792	g17550	OG0025890	accessory
NIC1792	g17551	OG0025890	accessory
NIC1792	g17552	OG0024575	accessory
NIC1792	g17553	OG0022413	accessory
NIC1792	g17554	OG0016569	accessory
NIC1792	g17555	OG0024190	accessory
NIC1792	g17556	OG0000531	core
NIC1792	g17557	OG0000940	core
NIC1792	g17558	OG0001271	core
NIC1792	g17574	OG0014953	core
NIC1792	g17575	OG0014952	core
NIC1792	g17577	OG0014950	core
NIC1792	g17605	OG0021665	accessory
NIC1792	g17606	OG0014940	core
NIC1792	g17608	OG0014938	core
NIC1792	g20738	OG0008546	core
NIC1792	g20739	OG0008545	core
NIC1792	g20740	OG0016224	accessory
NIC1792	g20768	OG0008537	core
NIC1792	g20769	OG0015564	accessory
NIC1792	g20770	OG0001336	core
NIC1792	g20771	OG0008536	core
NIC1792	g20772	OG0008535	core
NIC1792	g20773	OG0002677	core
NIC1792	g20788	OG0008520	core
NIC1792	g20789	OG0000021	core
NIC1792	g20790	OG0003088	accessory
NIC1792	g20791	OG0023677	accessory
NIC1792	g20792	OG0000202	core
NIC1792	g20793	OG0024918	accessory
NIC1792	g20794	OG0000021	core
NIC1792	g20795	OG0000021	core
NIC1792	g20796	OG0000021	core
NIC1792	g20975	OG0008437	core
NIC1792	g20976	OG0001078	core
NIC1792	g21272	OG0001282	core
NIC1792	g21273	OG0015224	core
NIC1792	g21274	OG0024476	accessory
NIC1792	g21275	OG0001061	accessory
NIC1792	g21276	OG0025307	accessory
NIC1792	g21277	OG0025307	accessory
NIC1792	g21295	OG0023756	accessory
NIC1792	g21296	OG0015813	accessory
NIC1792	g21297	OG0015227	core
NIC1792	g21298	OG0027690	accessory
NIC1792	g21299	OG0003418	core
NIC1792	g21300	OG0015228	core
NIC1792	g21301	OG0015229	core
NIC1792	g21302	OG0018169	accessory
NIC1792	g21303	OG0015230	core
NIC1792	g21304	OG0015954	accessory
NIC1792	g21305	OG0018029	accessory
NIC1792	g21306	OG0015691	accessory
NIC1792	g21307	OG0003036	core
NIC1792	g21308	OG0003207	core
NIC1792	g21309	OG0015231	core
NIC1792	g21310	OG0019003	accessory
NIC1792	g21311	OG0025455	accessory
NIC1792	g21312	OG0017289	accessory
NIC1792	g21313	OG0003516	accessory
NIC1792	g21314	OG0001647	core
NIC1792	g21315	OG0003037	core
NIC1792	g21316	OG0001620	core
NIC1792	g21317	OG0019174	accessory
NIC1792	g21318	OG0003038	core
NIC1792	g21319	OG0000677	core
NIC1792	g21320	OG0022411	accessory
NIC1792	g21321	OG0020003	accessory
NIC1792	g21322	OG0020918	accessory
NIC1792	g21323	OG0018603	accessory
NIC1792	g21324	OG0019261	accessory
NIC1792	g21325	OG0018995	accessory
NIC1792	g21326	OG0022861	accessory
NIC1792	g21327	OG0022594	accessory
NIC1792	g21328	OG0023021	accessory
NIC1792	g21329	OG0003039	accessory
NIC1792	g21330	OG0001008	core
NIC1792	g21331	OG0017206	accessory
NIC1792	g21332	OG0000979	core
NIC1792	g21333	OG0000944	core
NIC1792	g21334	OG0003040	core
NIC1792	g21335	OG0001009	core
NIC1792	g21355	OG0003517	accessory
NIC1792	g21356	OG0017958	accessory
NIC1792	g21357	OG0001283	core
NIC1792	g21358	OG0018110	accessory
NIC1792	g21359	OG0000687	core
NIC1792	g21360	OG0020089	accessory
NIC1792	g21361	OG0022724	accessory
NIC1792	g21398	OG0018112	accessory
NIC1792	g21399	OG0003133	core
NIC1792	g21400	OG0028064	accessory
NIC1792	g21401	OG0032970	accessory
NIC1792	g21402	OG0018536	accessory
NIC1792	g21403	OG0021836	accessory
NIC1792	g21404	OG0017893	accessory
NIC1792	g21405	OG0017187	accessory
NIC1792	g21406	OG0021895	accessory
NIC1792	g21407	OG0015955	accessory
NIC1792	g21408	OG0002353	core
NIC1792	g21409	OG0015235	core
NIC1792	g21410	OG0019660	accessory
NIC1792	g21411	OG0001547	core
NIC1792	g21412	OG0019609	accessory
NIC1792	g21413	OG0022103	accessory
NIC1792	g21414	OG0003044	core
NIC1792	g21415	OG0000466	core
NIC1792	g21416	OG0015236	core
NIC1792	g21417	OG0015237	core
NIC1792	g21418	OG0015238	core
NIC1792	g21419	OG0003045	core
NIC1792	g21420	OG0015239	core
NIC1792	g21421	OG0015240	core
NIC1792	g21422	OG0015956	accessory
NIC1792	g21423	OG0016776	accessory
NIC1792	g21424	OG0015957	accessory
NIC1792	g21425	OG0015773	accessory
NIC1792	g21426	OG0003964	core
NIC1792	g21427	OG0016718	accessory
NIC1792	g21428	OG0003979	core
NIC1792	g21429	OG0015958	accessory
NIC1792	g21430	OG0001689	core
NIC1792	g21431	OG0003570	core
NIC1792	g21432	OG0015241	core
NIC1792	g21433	OG0015242	core
NIC1792	g21434	OG0052323	private
NIC1792	g21435	OG0001284	core
NIC1792	g21436	OG0001691	core
NIC1792	g21437	OG0003288	core
NIC1792	g21438	OG0001690	core
NIC1792	g21439	OG0003289	core
NIC1792	g21440	OG0016658	accessory
NIC1792	g21441	OG0018824	accessory
NIC1792	g21442	OG0020685	accessory
NIC1792	g21443	OG0003987	core
NIC1792	g21444	OG0015959	accessory
NIC1792	g21445	OG0003571	core
NIC1792	g21446	OG0001111	core
NIC1792	g21447	OG0015243	core
NIC1792	g21676	OG0025892	accessory
NIC1792	g21884	OG0003761	core
NIC1792	g21885	OG0000881	core
NIC1792	g21886	OG0020453	accessory
NIC1792	g21887	OG0020907	accessory
NIC1792	g21888	OG0021067	accessory
