strain	gene	class
JU1400	g21820	core
JU1400	g21821	core
JU1400	g21822	core
JU1400	g21823	core
JU1400	g21824	core
JU1400	g21825	core
JU1400	g21826	core
JU1400	g21827	accessory
JU1400	g21828	accessory
JU1400	g21829	accessory
JU1400	g21830	accessory
JU1400	g21831	core
JU1400	g21832	accessory
JU1400	g21833	core
JU1400	g21834	accessory
JU1400	g21835	core
JU1400	g21836	core
JU1400	g21837	core
JU1400	g21838	core
JU1400	g21839	accessory
JU1400	g21840	accessory
JU1400	g21841	core
JU1400	g21842	core
JU1400	g21843	core
JU1400	g21844	core
JU1400	g21845	core
JU1400	g21846	accessory
JU1400	g21847	accessory
JU1400	g21848	accessory
JU1400	g21849	accessory
JU1400	g21850	core
JU1400	g21851	accessory
JU1400	g21852	core
JU1400	g21853	core
JU1400	g21854	core
JU1400	g22655	core
JU1400	g22656	accessory
JU1400	g22657	core
JU1409	g2146	core
JU1409	g2147	accessory
JU1409	g2148	accessory
JU1409	g2149	accessory
JU1409	g2150	accessory
JU1409	g2151	accessory
JU1409	g2152	accessory
JU1409	g2153	accessory
JU1409	g2154	accessory
JU1409	g2155	accessory
JU1409	g2156	accessory
JU1409	g2157	accessory
JU1409	g2158	core
JU1409	g2186	core
JU1409	g2250	accessory
JU1409	g2251	accessory
JU1409	g2298	accessory
JU1409	g2299	accessory
JU1409	g2300	accessory
JU1409	g2301	accessory
JU1409	g2302	accessory
JU1409	g2303	accessory
JU1409	g2304	accessory
JU1409	g2305	accessory
JU1409	g2306	accessory
JU1409	g2307	accessory
JU1409	g2308	private
JU1409	g2309	accessory
JU1409	g2310	accessory
JU1409	g2311	accessory
JU1409	g2312	accessory
JU1409	g2313	accessory
JU1409	g2314	accessory
JU1409	g2315	accessory
JU1409	g2316	accessory
JU1409	g2317	accessory
JU1409	g2318	accessory
JU1409	g2319	accessory
JU1409	g2320	core
JU1409	g2321	accessory
JU1409	g2322	accessory
JU1409	g2323	accessory
JU1409	g2324	accessory
JU1409	g2325	accessory
JU1409	g2326	accessory
JU1409	g2327	accessory
JU1409	g2441	core
JU1409	g2442	accessory
JU1409	g2443	core
JU1409	g2458	accessory
JU1409	g2459	accessory
JU1409	g2460	accessory
JU1409	g2461	accessory
JU1409	g2462	accessory
JU1409	g2463	accessory
JU1409	g2464	accessory
JU1409	g2465	accessory
JU1409	g2466	accessory
JU1409	g2467	accessory
JU1409	g2468	accessory
JU1409	g2469	accessory
JU1409	g2486	accessory
JU1409	g2487	accessory
JU1409	g3985	core
JU1409	g3986	core
JU1409	g4377	core
JU1409	g4378	accessory
JU1409	g4379	accessory
JU1409	g4380	core
JU1409	g4381	core
JU1409	g4382	core
JU1409	g4383	core
JU1409	g4400	accessory
JU1409	g4401	core
JU1409	g4409	accessory
JU1409	g4410	core
JU1409	g5208	accessory
JU1409	g5209	accessory
JU1409	g5338	accessory
JU1409	g5339	accessory
JU1409	g5340	accessory
JU1409	g5341	accessory
JU1409	g5366	core
JU1409	g5367	accessory
JU1409	g5368	accessory
JU1409	g5410	accessory
JU1409	g5411	accessory
JU1409	g5412	accessory
JU1409	g5413	accessory
JU1409	g5414	accessory
JU1409	g5415	accessory
JU1409	g5416	accessory
JU1409	g5417	accessory
JU1409	g5668	accessory
JU1409	g5669	core
JU1409	g5671	accessory
JU1409	g5672	accessory
JU1409	g10848	accessory
JU1409	g10849	core
JU1409	g10850	accessory
JU1409	g10851	accessory
JU1409	g10852	accessory
JU1409	g10853	accessory
JU1409	g10854	accessory
JU1409	g10855	accessory
JU1409	g10856	accessory
JU1409	g10857	accessory
JU1409	g10858	accessory
JU1409	g10859	accessory
JU1409	g10860	accessory
JU1409	g10861	accessory
JU1409	g10862	accessory
JU1409	g10863	accessory
JU1409	g10864	accessory
JU1409	g10865	accessory
JU1409	g10866	accessory
JU1409	g10867	accessory
JU1409	g10868	accessory
JU1409	g10869	accessory
JU1409	g10870	accessory
JU1409	g10871	accessory
JU1409	g10872	core
JU1409	g10873	accessory
JU1409	g10874	accessory
JU1409	g10875	accessory
JU1409	g10876	accessory
JU1409	g10877	accessory
JU1409	g10878	accessory
JU1409	g10879	accessory
JU1409	g10880	accessory
JU1409	g10881	accessory
JU1409	g10882	accessory
JU1409	g10883	accessory
JU1409	g10884	accessory
JU1409	g10885	accessory
JU1409	g10886	accessory
JU1409	g10887	accessory
JU1409	g10888	accessory
JU1409	g10889	accessory
JU1409	g10890	accessory
JU1409	g10891	accessory
JU1409	g10892	accessory
JU1409	g10893	accessory
JU1409	g10894	accessory
JU1409	g10895	accessory
JU1409	g10896	accessory
JU1409	g10897	accessory
JU1409	g10898	accessory
JU1409	g10899	accessory
JU1409	g10900	accessory
JU1409	g11025	accessory
JU1409	g11026	core
JU1409	g11032	accessory
JU1409	g11033	accessory
JU1409	g11034	core
JU1409	g11477	core
JU1409	g11478	accessory
JU1409	g11521	accessory
JU1409	g11522	accessory
JU1409	g11523	core
JU1409	g11621	core
JU1409	g11622	accessory
JU1409	g11623	accessory
JU1409	g11624	accessory
JU1409	g11780	core
JU1409	g16161	accessory
JU1409	g16162	accessory
JU1409	g16163	accessory
JU1409	g16164	accessory
JU1409	g16165	accessory
JU1409	g16359	core
JU1409	g16360	core
JU1409	g19628	core
JU1409	g19629	core
JU1409	g19630	accessory
JU1409	g19631	core
JU1409	g19640	core
JU1409	g19641	core
JU1409	g19642	accessory
JU1409	g19689	core
JU1409	g19746	core
JU1409	g19872	accessory
JU1409	g19873	accessory
JU1409	g19874	accessory
JU1409	g19875	accessory
JU1409	g19876	accessory
JU1409	g20128	core
JU1409	g20129	core
JU1409	g20130	accessory
JU1409	g20161	core
JU1409	g20162	core
JU1409	g20163	core
JU1409	g20178	core
JU1409	g20179	accessory
JU1409	g20180	accessory
JU1409	g20696	core
JU1409	g20697	core
JU1409	g20932	accessory
JU1409	g20937	core
JU1409	g20950	accessory
JU1409	g20951	core
JU1409	g20952	core
JU1409	g20953	core
JU1409	g20954	core
JU1409	g20955	core
JU1409	g20999	core
JU1409	g21000	accessory
JU1409	g21001	accessory
JU1409	g21002	accessory
JU1409	g21003	accessory
JU1409	g21004	accessory
JU1409	g21007	accessory
JU1409	g21008	accessory
JU1409	g21009	core
JU1409	g21010	accessory
JU1409	g21011	core
JU1409	g21012	core
JU1409	g21013	accessory
JU1409	g21014	accessory
JU1409	g21015	core
JU1409	g21016	accessory
JU1409	g21017	accessory
JU1409	g21018	core
JU1409	g21029	core
JU1409	g21030	accessory
JU1409	g21031	core
JU1409	g21032	core
JU1409	g21033	core
JU1409	g21034	core
JU1409	g21035	accessory
JU1409	g21036	accessory
JU1409	g21037	accessory
JU1409	g21038	accessory
JU1409	g21039	core
JU1409	g21040	accessory
JU1409	g21041	accessory
JU1409	g21042	accessory
JU1409	g21043	accessory
JU1409	g21044	accessory
JU1409	g21045	accessory
JU1409	g21046	accessory
JU1409	g21047	core
JU1409	g21048	core
JU1409	g21166	accessory
JU1409	g21167	core
JU1409	g21168	core
JU1409	g21169	accessory
JU1409	g21170	accessory
JU1409	g21171	accessory
JU1409	g21172	accessory
JU1409	g21173	accessory
JU1409	g21174	accessory
JU1409	g21175	accessory
JU1409	g21176	accessory
JU1409	g21177	accessory
JU1409	g21178	accessory
JU1409	g21179	accessory
JU1409	g21180	accessory
JU1409	g21181	accessory
JU1409	g21182	accessory
JU1409	g21183	accessory
JU1409	g21184	accessory
JU1409	g21185	accessory
JU1409	g21186	accessory
JU1409	g21187	accessory
JU1409	g21188	accessory
JU1409	g21189	accessory
JU1409	g21190	accessory
JU1409	g21191	accessory
JU1409	g21192	accessory
JU1409	g21193	accessory
JU1409	g21194	accessory
JU1409	g21195	accessory
JU1409	g21196	accessory
JU1409	g21197	accessory
JU1409	g21198	accessory
JU1409	g21199	accessory
JU1409	g21200	accessory
JU1409	g21201	accessory
JU1409	g21202	accessory
JU1409	g21220	core
JU1409	g21221	core
JU1409	g21222	core
JU1409	g21223	core
JU1409	g21224	accessory
JU1409	g21225	core
JU1409	g21226	core
JU1409	g21227	accessory
JU1409	g21228	accessory
JU1409	g21229	accessory
JU1409	g21230	accessory
JU1409	g21231	accessory
JU1409	g21232	accessory
JU1409	g21233	accessory
JU1409	g21234	accessory
JU1409	g21235	accessory
JU1409	g21236	accessory
JU1409	g21237	accessory
JU1409	g21238	accessory
JU1409	g21239	accessory
JU1409	g21240	accessory
JU1409	g21241	accessory
JU1409	g21242	accessory
JU1409	g21243	accessory
JU1409	g21244	accessory
JU1409	g21245	accessory
JU1409	g21246	accessory
JU1409	g21247	accessory
JU1409	g21248	accessory
JU1409	g21249	accessory
JU1409	g21250	accessory
JU1409	g21251	accessory
JU1409	g22008	core
JU1409	g22009	core
JU1409	g22010	core
JU1409	g22011	accessory
JU1409	g22012	accessory
JU1409	g22013	accessory
JU1409	g22014	accessory
JU1409	g22015	accessory
JU1409	g22016	accessory
JU1409	g22017	accessory
JU1409	g22018	accessory
JU1409	g22019	accessory
JU1409	g22020	accessory
JU1409	g22021	core
JU1409	g22022	core
JU1409	g22023	accessory
JU1409	g22032	accessory
JU1409	g22033	accessory
JU1409	g22034	accessory
JU1409	g22035	accessory
JU1581	g1063	core
JU1581	g1064	core
JU1581	g1065	accessory
JU1581	g1066	accessory
JU1581	g1067	accessory
JU1581	g1068	accessory
JU1581	g1069	accessory
JU1581	g1070	accessory
JU1581	g1071	accessory
JU1581	g1072	core
JU1581	g1073	accessory
JU1581	g1074	accessory
JU1581	g1075	accessory
JU1581	g1076	accessory
JU1581	g1077	accessory
JU1581	g1078	core
JU1581	g1079	core
JU1581	g1080	core
JU1581	g1081	core
JU1581	g1082	accessory
JU1581	g1083	core
JU1581	g1094	core
JU1581	g1095	accessory
JU1581	g1096	accessory
JU1581	g1097	core
JU1581	g1098	accessory
JU1581	g1099	accessory
JU1581	g1100	core
JU1581	g1101	core
JU1581	g1102	accessory
JU1581	g1103	core
JU1581	g1104	accessory
JU1581	g1105	accessory
JU1581	g1106	accessory
JU1581	g1107	core
JU1581	g1108	accessory
JU1581	g1109	accessory
JU1581	g1110	accessory
JU1581	g1111	accessory
JU1581	g1112	accessory
JU1581	g1113	core
JU1581	g3534	core
JU1581	g3741	core
JU1581	g3784	core
JU1581	g5799	accessory
JU1581	g5800	accessory
JU1581	g5801	core
JU1581	g5817	core
JU1581	g5818	accessory
JU1581	g5819	core
JU1581	g5820	core
JU1581	g5864	core
JU1581	g5865	core
JU1581	g5866	accessory
JU1581	g5867	core
JU1581	g5868	core
JU1581	g5869	core
JU1581	g5936	core
JU1581	g5937	accessory
JU1581	g5938	core
JU1581	g5939	core
JU1581	g5940	core
JU1581	g6031	accessory
JU1581	g6493	accessory
JU1581	g6494	core
JU1581	g6495	accessory
JU1581	g6496	accessory
JU1581	g6497	core
JU1581	g6498	accessory
JU1581	g6499	accessory
JU1581	g6500	core
JU1581	g6501	accessory
JU1581	g6502	core
JU1581	g6503	accessory
JU1581	g6504	accessory
JU1581	g6505	accessory
JU1581	g6506	accessory
JU1581	g6507	accessory
JU1581	g6508	accessory
JU1581	g6509	accessory
JU1581	g6510	accessory
JU1581	g6511	accessory
JU1581	g6512	accessory
JU1581	g6513	accessory
JU1581	g6514	accessory
JU1581	g6515	accessory
JU1581	g6516	accessory
JU1581	g6517	core
JU1581	g6518	accessory
JU1581	g6519	core
JU1581	g6520	accessory
JU1581	g6521	core
JU1581	g6522	core
JU1581	g6523	accessory
JU1581	g6524	accessory
JU1581	g6560	core
JU1581	g6561	core
JU1581	g6562	core
JU1581	g6563	core
JU1581	g6564	accessory
JU1581	g6565	core
JU1581	g6566	accessory
JU1581	g6567	accessory
JU1581	g6568	accessory
JU1581	g6569	accessory
JU1581	g6570	accessory
JU1581	g6571	accessory
JU1581	g6572	accessory
JU1581	g6573	accessory
JU1581	g6574	accessory
JU1581	g6575	accessory
JU1581	g6576	core
JU1581	g6577	core
JU1581	g6578	accessory
JU1581	g6579	core
JU1581	g6580	core
JU1581	g6581	core
JU1581	g6582	accessory
JU1581	g6583	accessory
JU1581	g6584	accessory
JU1581	g6585	accessory
JU1581	g6586	core
JU1581	g6587	core
JU1581	g6588	core
JU1581	g6589	accessory
JU1581	g6590	accessory
JU1581	g6591	accessory
JU1581	g6592	core
JU1581	g6593	accessory
JU1581	g6594	core
JU1581	g6595	core
JU1581	g6596	core
JU1581	g6597	accessory
JU1581	g6598	core
JU1581	g6599	accessory
JU1581	g6600	accessory
JU1581	g6601	accessory
JU1581	g6738	accessory
JU1581	g6739	accessory
JU1581	g6740	accessory
JU1581	g6741	accessory
JU1581	g6742	accessory
JU1581	g6743	accessory
JU1581	g6744	accessory
JU1581	g6745	accessory
JU1581	g6746	accessory
JU1581	g6747	accessory
JU1581	g6748	accessory
JU1581	g6749	accessory
JU1581	g6750	accessory
JU1581	g6751	accessory
JU1581	g6752	accessory
JU1581	g6753	accessory
JU1581	g10208	core
JU1581	g10209	core
JU1581	g10210	accessory
JU1581	g10243	core
JU1581	g10244	core
JU1581	g10245	core
JU1581	g10246	accessory
JU1581	g10251	accessory
JU1581	g10252	core
JU1581	g10253	accessory
JU1581	g10254	accessory
JU1581	g10255	accessory
JU1581	g10256	accessory
JU1581	g10257	accessory
JU1581	g10258	accessory
JU1581	g10259	accessory
JU1581	g10260	core
JU1581	g10261	core
JU1581	g10263	core
JU1581	g10264	core
JU1581	g10265	accessory
JU1581	g10266	accessory
JU1581	g10267	core
JU1581	g10268	core
JU1581	g10269	accessory
JU1581	g10270	core
JU1581	g10271	core
JU1581	g10272	core
JU1581	g10283	core
JU1581	g10284	core
JU1581	g10285	core
JU1581	g10286	accessory
JU1581	g13241	core
JU1581	g13242	core
JU1581	g13243	accessory
JU1581	g13244	accessory
JU1581	g13245	accessory
JU1581	g13246	accessory
JU1581	g13247	accessory
JU1581	g13248	accessory
JU1581	g13249	accessory
JU1581	g13250	accessory
JU1581	g13251	accessory
JU1581	g13252	accessory
JU1581	g13253	accessory
JU1581	g13254	core
JU1581	g14848	core
JU1581	g14849	core
JU1581	g15103	core
JU1581	g15104	core
JU1581	g15657	accessory
JU1581	g15714	core
JU1581	g15715	accessory
JU1581	g15716	accessory
JU1581	g15717	core
JU1581	g15718	accessory
JU1581	g15719	accessory
JU1581	g15720	accessory
JU1581	g15721	accessory
JU1581	g15722	accessory
JU1581	g15723	accessory
JU1581	g15724	accessory
JU1581	g15726	accessory
JU1581	g15727	accessory
JU1581	g15728	core
JU1581	g15729	accessory
JU1581	g15730	accessory
JU1581	g15731	accessory
JU1581	g15732	accessory
JU1581	g15733	core
JU1581	g15734	core
JU1581	g15735	accessory
JU1581	g15736	core
JU1581	g15737	core
JU1581	g15780	core
JU1581	g15781	core
JU1581	g15791	core
JU1581	g15792	accessory
JU1581	g15793	accessory
JU1581	g15794	accessory
JU1581	g15831	private
JU1581	g15832	accessory
JU1581	g15833	accessory
JU1581	g15834	accessory
JU1581	g15835	accessory
JU1581	g15836	accessory
JU1581	g15837	accessory
JU1581	g15838	accessory
JU1581	g15839	accessory
JU1581	g15840	accessory
JU1581	g15841	core
JU1581	g15842	core
JU1581	g15961	accessory
JU1581	g15962	accessory
JU1581	g15963	core
JU1581	g16174	accessory
JU1581	g16175	accessory
JU1581	g16176	accessory
JU1581	g16177	accessory
JU1581	g16178	accessory
JU1581	g16179	accessory
JU1581	g16180	accessory
JU1581	g16181	core
JU1581	g16182	accessory
JU1581	g16183	accessory
JU1581	g16184	accessory
JU1581	g16185	accessory
JU1581	g16186	private
JU1581	g16187	accessory
JU1581	g16188	accessory
JU1581	g16189	accessory
JU1581	g16190	private
JU1581	g16191	accessory
JU1581	g16192	accessory
JU1581	g16193	accessory
JU1581	g16194	accessory
JU1581	g16195	accessory
JU1581	g16196	accessory
JU1581	g16197	accessory
JU1581	g16198	accessory
JU1581	g16199	accessory
JU1581	g16200	accessory
JU1581	g16201	accessory
JU1581	g16202	private
JU1581	g16203	accessory
JU1581	g16204	accessory
JU1581	g16205	accessory
JU1581	g16206	accessory
JU1581	g20197	core
JU1581	g20198	accessory
JU1581	g20234	core
JU1581	g20235	accessory
JU1581	g20236	core
JU1581	g20237	core
JU1581	g20238	core
JU1581	g20239	core
JU1581	g20240	core
JU1581	g20254	core
JU1581	g20255	accessory
JU1581	g20789	core
JU1581	g20790	accessory
JU1581	g20791	core
JU1581	g20806	accessory
JU1581	g20807	accessory
JU1581	g20808	accessory
JU1581	g20809	accessory
JU1581	g20810	accessory
JU1581	g20811	accessory
JU1581	g20812	accessory
JU1581	g20813	accessory
JU1581	g20814	accessory
JU1581	g20815	accessory
JU1581	g20816	accessory
JU1581	g20817	accessory
JU1581	g21066	core
JU1581	g21224	core
JU1581	g21225	core
JU1581	g21226	core
JU1581	g21227	accessory
JU1581	g21586	core
JU1581	g21587	private
JU1581	g21719	accessory
JU1581	g21720	accessory
JU1581	g21721	accessory
JU1581	g21722	accessory
JU1581	g21723	accessory
JU1581	g21724	accessory
JU1581	g21725	accessory
JU1581	g21726	accessory
JU1581	g21727	accessory
JU1581	g21728	accessory
JU1581	g21729	accessory
JU1581	g21730	accessory
JU1581	g21731	accessory
JU1581	g21732	accessory
JU1581	g21733	accessory
JU1581	g21734	accessory
JU1581	g21735	accessory
JU1581	g21736	accessory
JU1581	g21737	accessory
JU1581	g21738	accessory
JU1581	g21739	accessory
JU1581	g21740	accessory
JU1581	g21741	accessory
JU1581	g21742	accessory
JU1581	g21743	accessory
JU1581	g21744	accessory
JU1581	g21745	accessory
JU1581	g21746	core
JU1581	g21747	accessory
JU1581	g21748	accessory
JU1581	g21749	accessory
JU1581	g21750	accessory
JU1581	g21751	accessory
JU1581	g21752	accessory
JU1581	g21753	accessory
JU1581	g21754	accessory
JU1581	g21755	accessory
JU1581	g21756	accessory
JU1581	g21757	accessory
JU1581	g21758	accessory
JU1581	g21759	accessory
JU1581	g21760	accessory
JU1581	g21761	accessory
JU1581	g21762	accessory
JU1581	g21763	accessory
JU1581	g21764	accessory
JU1581	g21765	accessory
JU1581	g21766	accessory
JU1581	g21767	accessory
JU1581	g21768	accessory
JU1581	g21769	core
JU1581	g21770	core
JU1581	g21826	accessory
JU1581	g21827	core
JU1581	g21828	core
JU1581	g21829	accessory
JU1581	g21830	accessory
JU1581	g21831	accessory
JU1581	g21832	accessory
JU1581	g21833	accessory
JU1581	g21834	accessory
JU1581	g21835	accessory
JU1581	g21836	accessory
JU1581	g21837	accessory
JU1581	g21838	accessory
JU1581	g21839	accessory
JU1581	g21840	accessory
JU1581	g21841	accessory
JU1581	g21842	accessory
JU1581	g21843	accessory
JU1581	g21844	accessory
JU1581	g21845	accessory
JU1581	g21846	accessory
JU1581	g21847	accessory
JU1581	g21848	accessory
JU1581	g21849	accessory
JU1581	g21850	accessory
JU1581	g21851	accessory
JU1581	g21852	accessory
JU1581	g21853	accessory
JU1581	g21854	accessory
JU1581	g21855	accessory
JU1581	g21856	accessory
JU1581	g21857	accessory
JU1581	g21858	accessory
JU1581	g21859	accessory
JU1581	g21860	accessory
JU1581	g21861	accessory
JU1581	g21862	accessory
JU1581	g21880	core
JU1581	g21881	core
JU1581	g21882	core
JU1581	g21883	core
JU1581	g21884	accessory
JU1581	g21885	core
JU1581	g21886	core
JU1581	g21887	accessory
JU1581	g21888	accessory
JU1581	g21889	accessory
JU1581	g21890	accessory
JU1581	g21891	accessory
JU1581	g21892	accessory
JU1581	g21893	accessory
JU1581	g21894	accessory
JU1581	g21895	accessory
JU1581	g21896	accessory
JU1581	g21897	accessory
JU1581	g21898	accessory
JU1581	g21899	accessory
JU1581	g21900	accessory
JU1581	g21901	accessory
JU1581	g21902	accessory
JU1581	g21903	accessory
JU1581	g21904	accessory
JU1581	g21905	accessory
JU1581	g21906	accessory
JU1581	g21907	accessory
JU1581	g21908	accessory
JU1581	g21909	accessory
JU1581	g21910	accessory
JU1581	g21911	accessory
JU1581	g21981	core
JU1581	g21982	core
JU1581	g21983	accessory
JU1581	g22109	core
JU1581	g22110	core
JU1581	g22118	core
JU1581	g22119	accessory
JU1581	g22128	core
JU1581	g22129	core
JU1581	g22228	core
JU1581	g22229	accessory
JU1581	g22230	core
JU1581	g22231	accessory
JU1581	g22232	core
JU1581	g22233	accessory
JU1581	g22234	core
JU1581	g22235	accessory
JU1581	g22236	accessory
JU1581	g22237	accessory
JU1581	g22238	accessory
JU1581	g22239	accessory
JU1581	g22240	accessory
JU1581	g22241	accessory
JU1581	g22242	accessory
JU1581	g22243	accessory
JU1581	g22244	accessory
JU1581	g22245	accessory
JU1581	g22246	accessory
JU1581	g22247	accessory
JU1581	g22248	core
JU1581	g22249	accessory
JU1581	g22250	accessory
JU1581	g22251	core
JU1581	g22252	core
JU1581	g22253	core
JU1581	g22340	core
JU1581	g22341	accessory
JU1581	g22342	accessory
JU1581	g22343	accessory
JU1581	g22344	accessory
JU1581	g22345	accessory
JU1581	g22346	accessory
JU1581	g22347	accessory
JU1581	g22348	accessory
JU1581	g22349	accessory
JU1581	g22350	accessory
JU1581	g22351	accessory
JU1581	g22352	accessory
JU1581	g22353	accessory
JU1581	g22354	accessory
JU1581	g22355	accessory
JU1581	g22356	accessory
JU1581	g22357	accessory
JU1581	g22358	accessory
JU1581	g22359	accessory
JU1581	g22360	accessory
JU1581	g22361	core
JU1581	g22362	accessory
JU1581	g22363	accessory
JU1581	g22364	accessory
JU1581	g22365	accessory
JU1581	g22366	accessory
JU1581	g22367	accessory
JU1581	g22368	accessory
JU1581	g22369	accessory
JU1581	g22385	accessory
JU1581	g22386	accessory
JU1581	g22387	accessory
JU1581	g22388	accessory
JU1581	g22474	accessory
JU1581	g22475	accessory
JU2001	g1686	accessory
JU2001	g1687	core
JU2001	g1688	accessory
JU2001	g1689	core
JU2001	g1770	accessory
JU2001	g1771	core
JU2001	g1772	accessory
JU2001	g1773	accessory
JU2001	g1774	private
JU2001	g1775	accessory
JU2001	g1776	accessory
JU2001	g1777	accessory
JU2001	g1830	accessory
JU2001	g1831	accessory
JU2001	g1832	accessory
JU2001	g1833	accessory
JU2001	g1834	accessory
JU2001	g1835	accessory
JU2001	g1836	accessory
JU2001	g1887	core
JU2001	g1888	accessory
JU2001	g1889	accessory
JU2001	g1890	accessory
JU2001	g1891	accessory
JU2001	g1965	accessory
JU2001	g1966	accessory
JU2001	g1967	accessory
JU2001	g1968	accessory
JU2001	g1969	accessory
JU2001	g1970	accessory
JU2001	g1971	accessory
JU2001	g1972	accessory
JU2001	g1973	accessory
JU2001	g1974	accessory
JU2001	g1975	accessory
JU2001	g1976	accessory
JU2001	g1977	accessory
JU2001	g1978	accessory
JU2001	g1979	accessory
JU2001	g1980	accessory
JU2001	g1981	accessory
JU2001	g1982	private
JU2001	g1983	accessory
JU2001	g1984	accessory
JU2001	g1985	accessory
JU2001	g1986	accessory
JU2001	g1987	accessory
JU2001	g1988	accessory
JU2001	g1989	accessory
JU2001	g1990	accessory
JU2001	g1991	accessory
JU2001	g1992	accessory
JU2001	g1993	accessory
JU2001	g1994	accessory
JU2001	g1995	accessory
JU2001	g1996	accessory
JU2001	g1997	core
JU2001	g1998	core
JU2001	g1999	accessory
JU2001	g2000	accessory
JU2001	g2001	accessory
JU2001	g2002	accessory
JU2001	g2003	accessory
JU2001	g2004	accessory
JU2001	g2005	accessory
JU2001	g2006	accessory
JU2001	g2007	accessory
JU2001	g2008	accessory
JU2001	g2009	accessory
JU2001	g2010	accessory
JU2001	g2011	accessory
JU2001	g2012	accessory
JU2001	g2013	accessory
JU2001	g2014	private
JU2001	g2015	accessory
JU2001	g2016	accessory
JU2001	g2017	accessory
JU2001	g2018	accessory
JU2001	g2019	accessory
JU2001	g2020	core
JU2001	g2021	core
JU2001	g2022	accessory
JU2001	g2023	accessory
JU2001	g2024	accessory
JU2001	g2025	accessory
JU2001	g2026	accessory
JU2001	g2027	accessory
JU2001	g2028	accessory
JU2001	g2029	accessory
JU2001	g2030	accessory
JU2001	g2031	accessory
JU2001	g2032	accessory
JU2001	g2033	accessory
JU2001	g2034	accessory
JU2001	g2035	accessory
JU2001	g2036	accessory
JU2001	g2037	accessory
JU2001	g2038	private
JU2001	g2039	accessory
JU2001	g2040	accessory
JU2001	g2041	accessory
JU2001	g2042	accessory
JU2001	g2043	accessory
JU2001	g2044	accessory
JU2001	g2045	accessory
JU2001	g2046	accessory
JU2001	g2047	accessory
JU2001	g2048	accessory
JU2001	g2049	accessory
JU2001	g2050	accessory
JU2001	g2051	accessory
JU2001	g2052	accessory
JU2001	g2053	accessory
JU2001	g2054	accessory
JU2001	g2055	accessory
JU2001	g2056	accessory
JU2001	g2057	accessory
JU2001	g2058	accessory
JU2001	g2059	private
JU2001	g2060	accessory
JU2001	g2061	accessory
JU2001	g2062	accessory
JU2001	g2063	accessory
JU2001	g2064	accessory
JU2001	g2065	accessory
JU2001	g2066	accessory
JU2001	g2067	accessory
JU2001	g2068	accessory
JU2001	g2069	accessory
JU2001	g2070	accessory
JU2001	g2071	accessory
JU2001	g2072	core
JU2001	g2073	core
JU2001	g2074	core
JU2001	g2075	accessory
JU2001	g2076	accessory
JU2001	g2077	accessory
JU2001	g2078	accessory
JU2001	g2079	accessory
JU2001	g2080	accessory
JU2001	g2081	accessory
JU2001	g2082	accessory
JU2001	g2083	accessory
JU2001	g2084	accessory
JU2001	g2085	accessory
JU2001	g2086	accessory
JU2001	g2087	accessory
JU2001	g2088	accessory
JU2001	g2089	accessory
JU2001	g2090	accessory
JU2001	g2118	accessory
JU2001	g2119	accessory
JU2001	g2120	accessory
JU2001	g2121	accessory
JU2001	g2122	accessory
JU2001	g2123	accessory
JU2001	g2124	accessory
JU2001	g2125	accessory
JU2001	g2126	accessory
JU2001	g2127	accessory
JU2001	g2128	accessory
JU2001	g2129	private
JU2001	g2130	accessory
JU2001	g2131	accessory
JU2001	g2132	accessory
JU2001	g2133	accessory
JU2001	g2134	accessory
JU2001	g2135	accessory
JU2001	g2136	accessory
JU2001	g2137	accessory
JU2001	g2138	accessory
JU2001	g2139	accessory
JU2001	g2140	accessory
JU2001	g2141	accessory
JU2001	g2142	accessory
JU2001	g2143	accessory
JU2001	g2144	accessory
JU2001	g2145	accessory
JU2001	g2146	accessory
JU2001	g2147	accessory
JU2001	g2148	accessory
JU2001	g2149	accessory
JU2001	g2150	accessory
JU2001	g2151	accessory
JU2001	g2152	accessory
JU2001	g2153	accessory
JU2001	g2154	accessory
JU2001	g2155	accessory
JU2001	g2156	accessory
JU2001	g2245	accessory
JU2001	g2246	core
JU2001	g2247	accessory
JU2001	g2248	accessory
JU2001	g2249	accessory
JU2001	g2250	accessory
JU2001	g2251	accessory
JU2001	g2252	accessory
JU2001	g2253	accessory
JU2001	g2254	accessory
JU2001	g2255	accessory
JU2001	g2256	accessory
JU2001	g2257	accessory
JU2001	g2258	accessory
JU2001	g2259	accessory
JU2001	g2260	accessory
JU2001	g2261	accessory
JU2001	g2262	accessory
JU2001	g2263	accessory
JU2001	g2264	accessory
JU2001	g2265	accessory
JU2001	g2266	accessory
JU2001	g2267	accessory
JU2001	g2268	accessory
JU2001	g2269	accessory
JU2001	g2270	core
JU2001	g2271	accessory
JU2001	g2272	accessory
JU2001	g2273	accessory
JU2001	g2274	accessory
JU2001	g2275	accessory
JU2001	g2276	accessory
JU2001	g2277	accessory
JU2001	g2278	accessory
JU2001	g2279	accessory
JU2001	g2280	accessory
JU2001	g2281	accessory
JU2001	g2282	accessory
JU2001	g2283	accessory
JU2001	g2284	accessory
JU2001	g2285	accessory
JU2001	g2286	accessory
JU2001	g2287	accessory
JU2001	g2288	accessory
JU2001	g2289	accessory
JU2001	g2290	accessory
JU2001	g2291	accessory
JU2001	g2292	accessory
JU2001	g2293	accessory
JU2001	g2294	accessory
JU2001	g2295	accessory
